5.189.184.6:80
3.109.238.5:8080
115.144.102.39:10080
172.106.16.60:3128
201.229.250.21:8080
1.214.62.71:8000
20.69.79.158:8443
65.0.160.35:8080
125.17.80.228:8080
80.48.119.28:8080
18.143.35.168:80
200.105.215.22:33630
86.92.97.181:80
212.107.31.118:80
45.63.61.201:80
125.17.80.227:8080
125.17.80.229:8080
89.117.32.209:80
35.172.202.138:80
109.122.195.14:80
51.68.181.108:80
42.98.75.138:80
202.61.192.193:80
81.16.177.100:80
20.205.61.143:80
169.55.89.6:80
125.17.80.226:8080
24.199.82.12:80
172.104.155.146:80
103.152.9.150:80
103.102.153.24:80
163.53.18.119:80
41.204.63.118:80
130.41.109.158:8080
64.225.4.17:9979
167.172.158.85:81
35.184.232.165:80
149.129.93.183:8899
15.236.135.81:80
89.43.10.141:80
31.186.239.244:8080
198.199.86.11:8080
200.25.254.193:54240
45.56.119.212:8015
45.149.43.56:53281
51.15.242.202:8888
178.128.219.124:8080
105.16.115.202:80
112.173.197.89:8001
47.243.187.3:2020
41.93.71.12:80
103.234.55.173:80
41.93.71.15:80
20.234.172.177:8080
203.198.207.253:80
71.255.153.117:80
103.38.214.21:3128
124.13.181.7:80
202.173.214.74:80
31.186.239.245:8080
47.91.45.235:7302
157.254.193.139:80
146.83.128.23:80
190.61.88.147:8080
47.253.214.60:8888
196.202.210.73:32650
3.143.37.255:80
194.104.158.177:80
173.249.198.244:8080
1.9.83.210:1337
8.209.198.247:80
191.252.178.3:80
15.237.37.150:80
20.111.54.16:80
20.210.113.32:80
20.206.106.192:80
20.24.43.214:80
90.103.95.90:80
185.162.251.76:80
137.184.100.135:80
174.70.1.210:8080
104.223.135.178:10000
139.99.135.214:80
46.47.197.210:3128
167.172.172.234:33953
43.153.206.208:8080
51.77.72.205:443
8.219.97.248:80
81.16.177.101:80
82.102.10.125:18345
81.16.177.99:80
61.80.242.17:8001
13.95.173.197:80
216.137.184.253:80
95.9.115.228:3128
91.229.114.143:80
152.69.215.206:80
91.229.114.153:80
45.63.59.109:80
187.111.163.27:8080
179.43.96.178:8080
141.11.37.204:8080
181.198.122.122:1994
181.209.99.218:999
103.124.238.50:8080
102.38.17.153:8080
176.215.1.25:3128
45.189.58.73:9090
103.159.196.215:1085
179.1.192.9:999
61.19.145.66:8080
146.255.100.226:80
103.155.217.156:41482
51.79.50.31:9300
167.71.199.236:443
20.99.187.69:8443
193.107.104.57:3128
43.255.113.232:8082
46.209.106.202:3128
89.58.29.103:80
115.96.208.124:8080
49.0.252.39:8080
41.65.0.220:1981
185.233.104.162:80
4.16.68.158:443
102.68.85.187:80
152.32.202.108:80
139.59.1.14:3128
155.254.192.216:80
188.0.147.102:3128
54.82.79.59:80
112.72.192.108:8001
178.33.3.163:8080
41.93.71.21:80
103.155.217.52:41367
13.126.60.140:80
185.103.87.30:8081
23.235.109.186:3128
202.173.214.76:80
185.160.26.114:80
123.60.175.183:8888
158.69.52.218:9300
165.246.148.50:8088
191.252.193.200:8080
198.59.191.234:8080
119.237.43.106:80
137.74.65.101:80
148.76.97.250:80
190.104.173.62:80
158.51.121.230:8881
202.173.214.72:80
157.245.27.9:3128
202.173.214.79:80
83.171.248.156:3128
190.45.251.128:3128
188.142.224.225:80
103.162.205.20:8181
103.180.198.6:8181
45.189.112.65:999
212.23.217.71:8080
190.15.151.205:3128
116.111.117.53:3333
188.75.65.166:3128
197.211.35.195:8080
91.224.98.35:8080
45.224.119.180:999
181.198.94.98:1994
45.234.63.60:999
95.214.123.200:8080
89.255.65.50:3128
138.117.231.130:999
200.92.212.90:999
183.88.84.32:8080
103.156.74.154:1111
36.92.43.107:8080
178.159.124.5:8080
41.180.70.89:8080
181.225.101.6:999
1.162.39.125:80
108.61.174.218:80
117.54.114.98:80
112.173.197.72:8001
64.225.4.85:9958
129.154.56.212:8088
47.241.122.19:80
119.237.37.28:80
165.154.224.14:80
91.238.103.65:80
115.144.100.124:10000
31.186.239.246:8080
123.202.159.203:80
108.61.173.226:80
36.228.213.186:80
77.91.74.77:80
135.181.114.87:33820
72.52.217.188:80
171.250.43.159:4017
138.2.46.155:8080
111.251.166.194:80
34.146.64.228:3128
138.201.132.168:8118
65.108.9.181:80
47.252.25.59:8080
88.198.80.203:8443
64.92.82.61:8080
213.230.127.93:3128
37.9.171.157:80
190.5.77.211:80
103.94.123.210:80
83.138.65.232:80
24.13.39.215:80
213.178.250.33:8080
36.226.33.162:3128
146.59.127.168:80
46.101.126.180:41051
18.179.20.228:8181
8.208.90.194:7001
34.66.5.144:8888
118.140.172.77:8888
82.165.105.48:80
130.61.100.135:80
198.167.193.62:8118
